Device,Element,Linac Z (m)*,Control System Name*,PS String,PS Config,Imin Val,Imin Uom,Imax Val,Imax Uom,Bmin Val,Bmin Uom,Bmax Val,Bmax Uom
QUAD,QL1P,752.674775,QUAD:DOG:250,,Individual,0,A,165,A,0.2764,kG,52.0734,kG
QUAD,QDOG8,739.730689,QUAD:DOG:230,QDOG4,String,0,A,165,A,-51.6565,kG,-0.1196,kG
QUAD,QCUS2,3112.211891,QUAD:CLTS:450,,Individual,0,A,165,A,-51.2573,kG,-0.1192,kG
QUAD,QHD02,28.46397,QUAD:HTR:860,,Individual,0,A,45,A,0.0728,kG,6.7456,kG
QUAD,Q0H01,8.600375,QUAD:HTR:120,,Individual,-30,A,30,A,-4.4831,kG,4.479,kG
QUAD,QBP28,2778.231303,QUAD:BPN28:400,,Individual,0,A,100,A,0.0851,kG,15.0158,kG
QUAD,QDMP2B,3752.827538,QUAD:DMPS:600,QDMP1B,String,0,A,150,A,-38.5868,kG,-0.0873,kG
QUAD,SQ02B,-8.398857,QUAD:GUNB:823:2,,Individual,-2,A,2,A,-0.0054,kG,0.0057,kG
QUAD,QCM09,252.386232,QUAD:L2B:0985,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM12,289.047402,QUAD:L2B:1285,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM14,313.488182,QUAD:L2B:1485,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM28,551.62452,QUAD:L3B:2885,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM30,576.0653,QUAD:L3B:3085,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM34,624.94686,QUAD:L3B:3485,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
SOLN,SOL1BKB,-10.116372,SOLN:GUNB:100,,Individual,-5,A,5,A,-0.0291,kG,0.0316,kG
XCOR,XCC000,37.47717,XCOR:COL0:235,,Individual,-6,A,6,A,-0.0047,kG-m,0.0047,kG-m
YCOR,YC0H01,8.876524,YCOR:HTR:129,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCC004,41.38044,XCOR:COL0:328,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCC008,58.70124,XCOR:COL0:648,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
YCOR,YCM12B,123.18722,YCOR:BC1B:277,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCM12B,128.39502,XCOR:BC1B:277,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCC106,150.885202,XCOR:COL1:488,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCC108,158.885202,XCOR:COL1:648,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCM01,4.05919,XCOR:L0B:0185,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
XCOR,XCM03,102.38726,XCOR:L1B:0385,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
XCOR,XCM22,475.75287,XCOR:L3B:2285,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
XCOR,XCM29,563.84491,XCOR:L3B:2985,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
XCOR,XCM34,624.94686,XCOR:L3B:3485,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
YCOR,YCM04,191.284282,YCOR:L2B:0485,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM07,227.945452,YCOR:L2B:0785,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM26,527.18374,YCOR:L3B:2685,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM29,563.84491,YCOR:L3B:2985,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM32,600.50608,YCOR:L3B:3285,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
QUAD,QHXH18,3586.713627,QUAD:UNDH:1880,,Individual,-6.0020916,A,6.0052314,A,-42.275276,kG,42.300227,kG
QUAD,QHXH46,3699.067069,QUAD:UNDH:4680,,Individual,-6.0022735,A,6.0052345,A,-42.463994,kG,42.482381,kG
QUAD,QHXH31,3638.877725,QUAD:UNDH:3180,,Individual,-6.0018138,A,6.0055902,A,-42.538437,kG,42.563783,kG
QUAD,QSXH32,3638.014242,QUAD:UNDS:3280,,Individual,-6.0060266,A,6.0045617,A,-43.070398,kG,43.067319,kG
QUAD,QSXH43,3686.413714,QUAD:UNDS:4380,,Individual,-6.0054706,A,6.003555,A,-42.908472,kG,43.06602,kG
QUAD,QSXH38,3664.413954,QUAD:UNDS:3880,,Individual,-6.0053496,A,6.0034348,A,-42.952882,kG,43.007842,kG
QUAD,QSXH28,3620.414434,QUAD:UNDS:2880,,Individual,-6.0059328,A,6.0044873,A,-43.474225,kG,43.542126,kG
QUAD,QSXH27,3616.014482,QUAD:UNDS:2780,,Individual,-6.0058444,A,6.0042333,A,-43.321141,kG,43.382527,kG
QUAD,QSXH39,3668.813906,QUAD:UNDS:3980,,Individual,-6.0055568,A,6.003602,A,-43.104628,kG,43.094467,kG
YCOR,YCHX25,3614.801987,YCOR:UNDH:2580,,Individual,-1,A,1,A,-0.006017742,kG-m,0.006017742,kG-m
YCOR,YCHX15,3574.675758,YCOR:UNDH:1580,,Individual,-1,A,1,A,-0.006147294,kG-m,0.006147294,kG-m
YCOR,YCHX27,3622.827233,YCOR:UNDH:2780,,Individual,-1,A,1,A,-0.006090048,kG-m,0.006090048,kG-m
XCOR,XCHX18,3586.713627,XCOR:UNDH:1880,,Individual,-1,A,1,A,-0.006229019,kG-m,0.006229019,kG-m
YCOR,YCHX31,3638.877725,YCOR:UNDH:3180,,Individual,-1,A,1,A,-0.00589369,kG-m,0.00589369,kG-m
YCOR,YCHX14,3570.663135,YCOR:UNDH:1480,,Individual,-1,A,1,A,-0.005967207,kG-m,0.005967207,kG-m
YCOR,YCHX34,3650.915594,YCOR:UNDH:3480,,Individual,-1,A,1,A,-0.006107542,kG-m,0.006107542,kG-m
XCOR,XCHX16,3578.688381,XCOR:UNDH:1680,,Individual,-1,A,1,A,-0.006197574,kG-m,0.006197574,kG-m
YCOR,YCHX19,3590.72625,YCOR:UNDH:1980,,Individual,-1,A,1,A,-0.006044607,kG-m,0.006044607,kG-m
YCOR,YCHX32,3642.890348,YCOR:UNDH:3280,,Individual,-1,A,1,A,-0.006090909,kG-m,0.006090909,kG-m
YCOR,YCHX13,3566.650512,YCOR:UNDH:1380,,Individual,-1,A,1,A,-0.006092694,kG-m,0.006092694,kG-m
XCOR,XCHX17,3582.701004,XCOR:UNDH:1780,,Individual,-1,A,1,A,-0.006790079,kG-m,0.006790079,kG-m
YCOR,YCSX38,3664.413954,YCOR:UNDS:3880,,Individual,-1,A,1,A,-0.006463167,kG-m,0.006463167,kG-m
XCOR,XCSX24,3602.814625,XCOR:UNDS:2480,,Individual,-1,A,1,A,-0.006660456,kG-m,0.006660456,kG-m
XCOR,XCSX35,3651.214098,XCOR:UNDS:3580,,Individual,-1,A,1,A,-0.006283021,kG-m,0.006283021,kG-m
YCOR,YCSX46,3699.61357,YCOR:UNDS:4680,,Individual,-1,A,1,A,-0.005971498,kG-m,0.005971498,kG-m
XCOR,XCHX26,3618.81461,XCOR:UNDH:2680,,Individual,-1,A,1,A,-0.007176684,kG-m,0.007176684,kG-m
BEND,BX23,2425.7171,BEND:LI24:810,BX22,String,0,A,240,A,0.01127,kG-m,9.9094,kG-m
BEND,BCXSS1,3647.561138,BEND:UNDS:3510,BCXSS1,String Main,-9,A,9,A,0,kG-m,2.68,kG-m
QUAD,QA01,2021.888411,QUAD:IN20:361,,Individual,-12,A,12,A,-20,kG,20,kG
QUAD,QM11,2045.906299,QUAD:LI21:211,,Individual,-12,A,12,A,-20,kG,20,kG
QUAD,Q22701,2207.586,QUAD:LI22:701,,Individual,0,A,37.5,A,-21.17318,kG,0,kG
QUAD,Q23301,2259.8084,QUAD:LI23:301,,Individual,0,A,37.5,A,-21.17318,kG,0,kG
QUAD,Q24701A,2410.786,QUAD:LI24:701,Q24701A,String Main,0,A,200,A,-100,kG,0,kG
QUAD,Q24901A,2437.9731,QUAD:LI24:901,Q24901A,String Main,0,A,200,A,0,kG,100,kG
QUAD,Q25701,2512.386,QUAD:LI25:701,,Individual,0,A,37.5,A,-21.17318,kG,0,kG
QUAD,Q27701,2715.586,QUAD:LI27:701,,Individual,0,A,37.5,A,-21.17318,kG,0,kG
QUAD,Q27901,2740.5154,QUAD:LI27:901,,Individual,0,A,37.5,A,-21.17318,kG,0,kG
QUAD,Q29501,2894.0972,QUAD:LI29:501,,Individual,0,A,37.5,A,-21.17318,kG,0,kG
QUAD,Q30401,2983.3528,QUAD:LI30:401,,Individual,0,A,100,A,0,kG,106.28,kG
QUAD,Q30801,3032.53,QUAD:LI30:801,,Individual,0,A,100,A,0,kG,106.28,kG
XCOR,XC00,2018.072044,XCOR:IN20:121,,Individual,-4,A,4,A,-0.0015,kG-m,0.0015,kG-m
XCOR,XC21702,2106.4,XCOR:LI21:702,,Individual,-6,A,6,A,-0.015,kG-m,0.015,kG-m
XCOR,XC21802,2118.74,XCOR:LI21:802,,Individual,-6,A,6,A,-0.015,kG-m,0.015,kG-m
XCOR,XC22602,2195.65,XCOR:LI22:602,,Individual,-6,A,6,A,-0.07,kG-m,0.07,kG-m
XCOR,XC23802,2321.94,XCOR:LI23:802,,Individual,-6,A,6,A,-0.07,kG-m,0.07,kG-m
XCOR,XC24502,2386.51,XCOR:LI24:502,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC25602,2500.45,XCOR:LI25:602,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC25702,2512.8,XCOR:LI25:702,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC26702,2614.4,XCOR:LI26:702,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC27202,2654.27,XCOR:LI27:202,,Individual,-6,A,6,A,-0.06243,kG-m,0.06243,kG-m
XCOR,XC27602,2703.65,XCOR:LI27:602,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC27802,2728.34,XCOR:LI27:802,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC27900,2739.3842,XCOR:LI27:900,,Individual,-6,A,6,A,-0.0624,kG-m,0.06243,kG-m
XCOR,XC29302,2869.82,XCOR:LI29:302,,Individual,-6,A,6,A,-0.06243,kG-m,0.06243,kG-m
XCOR,XC30702,3020.8477,XCOR:LI30:702,,Individual,-6,A,6,A,-0.06243,kG-m,0.06243,kG-m
XCOR,XCBSYQ5,3151.62546,XCOR:BSYH:642,,Individual,-3.866,A,3.866,A,-0.04,kG-m,0.04,kG-m
XCOR,XCBSYQ2,3055.753876,XCOR:CLTH:168,,Individual,-6,A,6,A,-0.06,kG-m,0.06,kG-m
